Ticker          Short Name
UPS UN Equity   UNITED PARCEL-B
URBN UW Equity  URBAN OUTFITTER
URI UN Equity   UNITED RENTALS
USB UN Equity   US BANCORP
UTX UN Equity   UNITED TECH CORP
V UN Equity     VISA INC-CLASS A
VAR UN Equity   VARIAN MEDICAL S
VFC UN Equity   VF CORP
VIAB UW Equity  VIACOM INC-B
VLO UN Equity   VALERO ENERGY
VMC UN Equity   VULCAN MATERIALS
VNO UN Equity   VORNADO RLTY TST
VRSN UW Equity  VERISIGN INC
VRTX UW Equity  VERTEX PHARM
VTR UN Equity   VENTAS INC
VZ UN Equity    VERIZON COMMUNIC
WAT UN Equity   WATERS CORP
WBA UW Equity   WALGREENS BOOTS
WDC UW Equity   WESTERN DIGITAL
WEC UN Equity   WISCONSIN ENERGY
WFC UN Equity   WELLS FARGO & CO
WFM UW Equity   WHOLE FOODS MKT
WHR UN Equity   WHIRLPOOL CORP
WM UN Equity    WASTE MANAGEMENT
WMB UN Equity   WILLIAMS COS INC
WMT UN Equity   WAL-MART STORES
WU UN Equity    WESTERN UNION
WY UN Equity    WEYERHAEUSER CO
WYN UN Equity   WYNDHAM WORLDWID
WYNN UW Equity  WYNN RESORTS LTD
XEC UN Equity   CIMAREX ENERGY C
XEL UN Equity   XCEL ENERGY INC
XL UN Equity    XL GROUP PLC
XLNX UW Equity  XILINX INC
XOM UN Equity   EXXON MOBIL CORP
XRAY UW Equity  DENTSPLY INTL
XRX UN Equity   XEROX CORP
XYL UN Equity   XYLEM INC
YHOO UW Equity  YAHOO! INC
YUM UN Equity   YUM! BRANDS INC
ZION UW Equity  ZIONS BANCORP
ZMH UN Equity   ZIMMER HLDGS
ZTS UN Equity   ZOETIS INC
